Thread Number,Bytes Sent,IPAddress
25264,8,192.168.0.13:45298
26881,8,192.168.0.13:45320
27000,8,192.168.0.13:45310
25226,8,192.168.0.13:45380
53925,8,192.168.0.13:44870
30905,8,192.168.0.13:45324
30908,8,192.168.0.13:45314
25317,8,192.168.0.13:45328
27144,8,192.168.0.13:45418
27368,8,192.168.0.13:45416
26951,8,192.168.0.13:45424
25267,8,192.168.0.13:45294
25329,8,192.168.0.13:45332
25218,8,192.168.0.13:45382
25346,8,192.168.0.13:45292
31948,8,192.168.0.13:44922
25270,8,192.168.0.13:45304
28292,8,192.168.0.13:45426
25368,8,192.168.0.13:45334
25714,8,192.168.0.13:45398
30049,8,192.168.0.13:45442
26984,8,192.168.0.13:45436
27294,8,192.168.0.13:45412
29585,8,192.168.0.13:45462
28924,8,192.168.0.13:45460
30647,8,192.168.0.13:45446
30977,8,192.168.0.13:45450
26219,8,192.168.0.13:45466
35087,8,192.168.0.13:45440
30694,8,192.168.0.13:45452
30304,8,192.168.0.13:45464
40230,8,192.168.0.13:45432
25247,8,192.168.0.13:45326
25795,8,192.168.0.13:45336
38436,8,192.168.0.13:45458
27606,8,192.168.0.13:45378
54010,8,192.168.0.13:45352
27602,8,192.168.0.13:45430
54019,8,192.168.0.13:45372
53092,8,192.168.0.13:45346
55018,8,192.168.0.13:45286
47207,8,192.168.0.13:45468
54014,8,192.168.0.13:45376
26663,8,192.168.0.13:45428
54022,8,192.168.0.13:45350
50112,8,192.168.0.13:45374
52131,8,192.168.0.13:45308
25260,8,192.168.0.13:45358
26018,8,192.168.0.13:45274
79011,8,192.168.0.13:45344
54008,8,192.168.0.13:45356
32249,8,192.168.0.13:45222
32246,8,192.168.0.13:45264
29060,8,192.168.0.13:45128
32225,8,192.168.0.13:45144
25354,8,192.168.0.13:45538
25487,8,192.168.0.13:45500
25477,8,192.168.0.13:45548
25272,8,192.168.0.13:45512
25654,8,192.168.0.13:45150
130004,8,192.168.0.13:45394
96004,8,192.168.0.13:45400
26660,8,192.168.0.13:45414
26992,8,192.168.0.13:45504
32966,8,192.168.0.13:45532
32962,8,192.168.0.13:45554
26662,8,192.168.0.13:45396
27035,8,192.168.0.13:45552
54043,8,192.168.0.13:45348
25264,8,192.168.0.13:45502
54023,8,192.168.0.13:45318
30011,8,192.168.0.13:45492
30047,8,192.168.0.13:45316
28378,8,192.168.0.13:44944
29990,8,192.168.0.13:45544
33000,8,192.168.0.13:45514
32971,8,192.168.0.13:45510
26766,8,192.168.0.13:44916
61014,8,192.168.0.13:45278
34011,8,192.168.0.13:45434
61018,8,192.168.0.13:45282
32099,8,192.168.0.13:45558
34014,8,192.168.0.13:45470
28158,8,192.168.0.13:45508
28159,8,192.168.0.13:45478
30988,8,192.168.0.13:45476
28823,8,192.168.0.13:45498
34016,8,192.168.0.13:45338
32237,8,192.168.0.13:45550
32444,8,192.168.0.13:45560
32394,8,192.168.0.13:45534
32252,8,192.168.0.13:45198
25906,8,192.168.0.13:45520
32399,8,192.168.0.13:45542
32970,8,192.168.0.13:45516
26015,8,192.168.0.13:45088
27036,8,192.168.0.13:45522
29992,8,192.168.0.13:45280
33996,8,192.168.0.13:45472
33022,8,192.168.0.13:45530
33803,8,192.168.0.13:45420
26016,8,192.168.0.13:45254
25653,8,192.168.0.13:45260
28006,8,192.168.0.13:45248
25760,8,192.168.0.13:45590
32993,8,192.168.0.13:45594
26442,8,192.168.0.13:45580
25297,8,192.168.0.13:45556
26021,8,192.168.0.13:45104
25401,8,192.168.0.13:45528
26572,8,192.168.0.13:45574
26769,8,192.168.0.13:44910
25279,8,192.168.0.13:45526
26998,8,192.168.0.13:45300
27013,8,192.168.0.13:45178
25653,8,192.168.0.13:45160
25669,8,192.168.0.13:45096
25668,8,192.168.0.13:45212
34631,8,192.168.0.13:45584
34592,8,192.168.0.13:45490
34599,8,192.168.0.13:45486
27007,8,192.168.0.13:45110
32378,8,192.168.0.13:45482
27995,8,192.168.0.13:45138
29398,8,192.168.0.13:45506
27983,8,192.168.0.13:45140
57419,8,192.168.0.13:45598
35462,8,192.168.0.13:45488
25665,8,192.168.0.13:45152
29253,8,192.168.0.13:45228
29256,8,192.168.0.13:45186
29258,8,192.168.0.13:45134
42977,8,192.168.0.13:45192
29260,8,192.168.0.13:45114
64843,8,192.168.0.13:44834
27007,8,192.168.0.13:45188
29263,8,192.168.0.13:45236
352416,8,192.168.0.13:44740
36034,8,192.168.0.13:45536
62998,8,192.168.0.13:45570
29265,8,192.168.0.13:45094
36059,8,192.168.0.13:45546
60012,8,192.168.0.13:45404
25257,8,192.168.0.13:45290
53968,8,192.168.0.13:45592
26387,8,192.168.0.13:45540
56125,8,192.168.0.13:45524
54170,8,192.168.0.13:45480
45900,8,192.168.0.13:44680
25229,8,192.168.0.13:45288
29261,8,192.168.0.13:45108
25551,8,192.168.0.13:45600
25256,8,192.168.0.13:45330
27022,8,192.168.0.13:45194
25190,8,192.168.0.13:44900
49003,8,192.168.0.13:45232
28970,8,192.168.0.13:45158
30998,8,192.168.0.13:45118
25230,8,192.168.0.13:45360
31046,8,192.168.0.13:45166
28038,8,192.168.0.13:45100
117623,8,192.168.0.13:44860
28059,8,192.168.0.13:45256
31008,8,192.168.0.13:45216
27008,8,192.168.0.13:45168
30984,8,192.168.0.13:45230
38556,8,192.168.0.13:45386
322871,8,192.168.0.13:45048
322840,8,192.168.0.13:45060
322810,8,192.168.0.13:45062
156031,8,192.168.0.13:45340
31015,8,192.168.0.13:45098
30994,8,192.168.0.13:45246
31004,8,192.168.0.13:45438
30981,8,192.168.0.13:45258
322957,8,192.168.0.13:44996
82978,8,192.168.0.13:45238
93132,8,192.168.0.13:45402
38552,8,192.168.0.13:45136
40042,8,192.168.0.13:45176
40040,8,192.168.0.13:45190
235223,8,192.168.0.13:45092
234250,8,192.168.0.13:45086
234263,8,192.168.0.13:45124
54251,8,192.168.0.13:45572
93143,8,192.168.0.13:45142
141170,8,192.168.0.13:45242
141178,8,192.168.0.13:45422
141183,8,192.168.0.13:45388
141188,8,192.168.0.13:45392
511143,8,192.168.0.13:44862
38543,8,192.168.0.13:45180
147102,8,192.168.0.13:44908
31006,8,192.168.0.13:45266
356400,8,192.168.0.13:44734
29485,8,192.168.0.13:45474
147107,8,192.168.0.13:45156
29505,8,192.168.0.13:45148
27052,8,192.168.0.13:45252
54242,8,192.168.0.13:45566
25248,8,192.168.0.13:45202
322871,8,192.168.0.13:45046
25227,8,192.168.0.13:45390
27007,8,192.168.0.13:45102
54212,8,192.168.0.13:45496
27009,8,192.168.0.13:45226
105011,8,192.168.0.13:45276
102020,8,192.168.0.13:45312
99059,8,192.168.0.13:44920
54242,8,192.168.0.13:45596
99068,8,192.168.0.13:45106
83023,8,192.168.0.13:45164
141175,8,192.168.0.13:45170
102033,8,192.168.0.13:44884
38548,8,192.168.0.13:45120
79992,8,192.168.0.13:45116
56047,8,192.168.0.13:45562
54228,8,192.168.0.13:45582
25347,8,192.168.0.13:45606
26187,8,192.168.0.13:45634
26257,8,192.168.0.13:45640
25539,8,192.168.0.13:45706
26150,8,192.168.0.13:45648
27013,8,192.168.0.13:45668
26258,8,192.168.0.13:45610
25720,8,192.168.0.13:45616
26533,8,192.168.0.13:45636
26889,8,192.168.0.13:45364
28201,8,192.168.0.13:45618
25723,8,192.168.0.13:45172
25533,8,192.168.0.13:45718
25713,8,192.168.0.13:45738
26890,8,192.168.0.13:45644
25315,8,192.168.0.13:45682
27034,8,192.168.0.13:45646
26900,8,192.168.0.13:45608
30001,8,192.168.0.13:45720
27081,8,192.168.0.13:45622
29885,8,192.168.0.13:45664
30053,8,192.168.0.13:45704
30004,8,192.168.0.13:45694
265215,8,192.168.0.13:45268
27998,8,192.168.0.13:45680
29577,8,192.168.0.13:45650
30038,8,192.168.0.13:45666
29992,8,192.168.0.13:45620
30028,8,192.168.0.13:45702
29993,8,192.168.0.13:45724
26387,8,192.168.0.13:45742
30059,8,192.168.0.13:45700
25285,8,192.168.0.13:45740
25347,8,192.168.0.13:45518
25398,8,192.168.0.13:45564
25429,8,192.168.0.13:45708
25417,8,192.168.0.13:45484
25459,8,192.168.0.13:45628
25501,8,192.168.0.13:45714
30533,8,192.168.0.13:45652
25925,8,192.168.0.13:45690
25951,8,192.168.0.13:45588
25971,8,192.168.0.13:45728
25998,8,192.168.0.13:45494
26032,8,192.168.0.13:45654
25307,8,192.168.0.13:45632
32632,8,192.168.0.13:45734
25542,8,192.168.0.13:45712
32667,8,192.168.0.13:45688
32825,8,192.168.0.13:45162
25775,8,192.168.0.13:45630
25828,8,192.168.0.13:45614
25737,8,192.168.0.13:45322
27415,8,192.168.0.13:45684
35324,8,192.168.0.13:45626
27991,8,192.168.0.13:45674
26753,8,192.168.0.13:45830
27938,8,192.168.0.13:45602
28888,8,192.168.0.13:45732
29320,8,192.168.0.13:45800
28986,8,192.168.0.13:45854
29297,8,192.168.0.13:45836
29548,8,192.168.0.13:45802
29928,8,192.168.0.13:45174
29552,8,192.168.0.13:45804
32953,8,192.168.0.13:45856
38721,8,192.168.0.13:45736
99057,8,192.168.0.13:45296
33293,8,192.168.0.13:45846
93117,8,192.168.0.13:45208
25386,8,192.168.0.13:45744
29927,8,192.168.0.13:45760
25350,8,192.168.0.13:45126
25279,8,192.168.0.13:45826
42983,8,192.168.0.13:45184
25252,8,192.168.0.13:45752
27960,8,192.168.0.13:45456
32106,8,192.168.0.13:45750
25562,8,192.168.0.13:45788
25308,8,192.168.0.13:45214
38879,8,192.168.0.13:45448
38643,8,192.168.0.13:45586
31000,8,192.168.0.13:45716
39002,8,192.168.0.13:45658
28001,8,192.168.0.13:45764
25205,8,192.168.0.13:45756
31039,8,192.168.0.13:45686
48759,8,192.168.0.13:45824
